ἐπὶ P--------- ἐπί
πρόσωπόν N2N-ASN--- πρόσωπον
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἤκουσα VAI-AAI1S- ἀκούω
φωνὴν N1--ASF--- φωνή
λαλοῦντος V2--PAPGSM λαλέω

Ezek 2:1
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
πρός P--------- πρός
με RP--AS---- ἐγώ
υἱὲ N2--VSM--- υἱός
ἀνθρώπου N2--GSM--- ἄνθρωπος
στῆθι VH--AAD2S- ἵστημι
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
πόδας N3D-APM--- πούς
σου RP--GS---- σύ
καὶ C--------- καί
λαλήσω VF--FAI1S- λαλέω
πρὸς P--------- πρός
σέ RP--AS---- σύ

Ezek 2:2
καὶ C--------- καί
ἦλθεν VBI-AAI3S- ἔρχομαι
ἐπ' P--------- ἐπί
ἐμὲ RP--AS---- ἐγώ
πνεῦμα N3M-NSN--- πνεῦμα
καὶ C--------- καί
ἀνέλαβέν VBI-AAI3S- λαμβάνω ἀνα
με RP--AS---- ἐγώ
καὶ C--------- καί
ἐξῆρέν VAI-AAI3S- αἴρω ἐκ
με RP--AS---- ἐγώ
καὶ C--------- καί
ἔστησέν VAI-AAI3S- ἵστημι
με RP--AS---- ἐγώ
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
πόδας N3D-APM--- πούς
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἤκουον V1I-IAI1S- ἀκούω
αὐτοῦ RD--GSM--- αὐτός
λαλοῦντος V2--PAPGSM λαλέω
πρός P--------- πρός
με RP--AS---- ἐγώ

Ezek 2:3
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
πρός P--------- πρός
με RP--AS---- ἐγώ
υἱὲ N2--VSM--- υἱός
ἀνθρώπου N2--GSM--- ἄνθρωπος
ἐξαποστέλλω V1--PAI1S- στέλλω ἐκ ἀπο
ἐγώ RP--NS---- ἐγώ
σε RP--AS---- σύ
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ
τοὺς RA--APM--- ὁ
παραπικραίνοντάς V1--PAPAPM πικραίνω παρα
με RP--AS---- ἐγώ
οἵτινες RX--NPM--- ὅστις
παρεπίκρανάν VAI-AAI3P- πικραίνω παρα
με RP--AS---- ἐγώ
αὐτοὶ RD--NPM--- αὐτός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
πατέρες N3--NPM--- πατήρ
αὐτῶν RD--GPM--- αὐτός
ἕως P--------- ἕως
τῆς RA--GSF--- ὁ
σήμερον D--------- σήμερον
ἡμέρας N1A-GSF--- ἡμέρα

Ezek 2:4
καὶ C--------- καί
ἐρεῖς VF2-FAI2S- εἶπον
πρὸς P--------- πρός
αὐτούς RD--APM--- αὐτός
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος

Ezek 2:5
ἐὰν C--------- ἐάν
ἄρα X--------- ἄρα
ἀκούσωσιν VA--AAS3P- ἀκούω
ἢ C--------- ἤ
πτοηθῶσιν VC--APS3P- πτοέω
διότι C--------- διότι
οἶκος N2--NSM--- οἶκος
παραπικραίνων V1--PAPNSM πικραίνω παρα
ἐστίν V9--PAI3S- εἰμί
καὶ C--------- καί
γνώσονται VF--FMI3P- γιγνώσκω
ὅτι C--------- ὅτι
προφήτης N1M-NSM--- προφήτης
εἶ V9--PAI2S- εἰμί
σὺ RP--NS---- σύ
ἐν P--------- ἐν
μέσῳ A1--DSN--- μέσος
αὐτῶν RD--GPM--- αὐτός

Ezek 2:6
καὶ C--------- καί
σύ RP--NS---- σύ
υἱὲ N2--VSM--- υἱός
ἀνθρώπου N2--GSM--- ἄνθρωπος
μὴ D--------- μή
φοβηθῇς VC--APS2S- φοβέω
αὐτοὺς RD--APM--- αὐτός
μηδὲ C--------- μηδέ
ἐκστῇς VH--AAS2S- ἵστημι ἐκ
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
αὐτῶν RD--GPM--- αὐτός
διότι C--------- διότι
παροιστρήσουσι VF--FAI3P- οἰστράω παρα
καὶ C--------- καί
ἐπισυστήσονται VF--FMI3P- ἵστημι ἐπι συν
ἐπὶ P--------- ἐπί
σὲ RP--AS---- σύ
κύκλῳ N2--DSM--- κύκλος
καὶ C--------- καί
ἐν P--------- ἐν
μέσῳ A1--DSN--- μέσος
σκορπίων N2--GPM--- σκορπίος
σὺ RP--NS---- σύ
κατοικεῖς V2--PAI2S- οἰκέω κατα
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
αὐτῶν RD--GPM--- αὐτός
μὴ D--------- μή
φοβηθῇς VC--APS2S- φοβέω
καὶ C--------- καί
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
αὐτῶν RD--GPM--- αὐτός
μὴ D--------- μή
ἐκστῇς VH--AAS2S- ἵστημι ἐκ
διότι C--------- διότι
οἶκος N2--NSM--- οἶκος
παραπικραίνων V1--PAPNSM πικραίνω παρα
ἐστίν V9--PAI3S- εἰμί

Ezek 2:7
καὶ C--------- καί
λαλήσεις VF--FAI2S- λαλέω
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
μου RP--GS---- ἐγώ
πρὸς P--------- πρός
αὐτούς RD--APM--- αὐτός
ἐὰν C--------- ἐάν
ἄρα X--------- ἄρα
ἀκούσωσιν VA--AAS3P- ἀκούω
ἢ C--------- ἤ
πτοηθῶσιν VC--APS3P- πτοέω
διότι C--------- διότι
οἶκος N2--NSM--- οἶκος
